"Biomarker.IDs","Biomarker.Names"
"HGNC:3050","DSG3"
"HGNC:29317","LRRC4C"
"HGNC:9685","PTPRZ1"
"HGNC:12695","VIPR2"
"HGNC:18748","CNTNAP5"
"HGNC:24350","CCDC68"
"HGNC:4571","GRIA1"
"HGNC:30024","PEX5L"
"HGNC:18649","GULP1"
"HGNC:9655","PTPN3"
"HGNC:23242","GALNT13"
"HGNC:10249","ROBO1"
"HGNC:31700","ZBTB7C"
"HGNC:19666","STXBP6"
"HGNC:48603","SCHLAP1"
"HGNC:19364","RTKN2"
"HGNC:10484","RYR2"
"HGNC:26836","SLC38A11"
"HGNC:3768","FMN1"
"HGNC:21063","MOXD1"
"HGNC:21013","PLXDC2"
"HGNC:23392","CARM1P1"
"N/A","LINCR-0002"
"HGNC:7657","NCAM2"
"HGNC:26901","OTOGL"
"HGNC:6181","ITPR2"
"HGNC:9237","PPARGC1A"
"HGNC:4140","GAP43"
"HGNC:3355","ENPEP"
"HGNC:27545","LINC00922"
"HGNC:3446","ERG"
"HGNC:4243","GFRA1"
"HGNC:9874","RASAL2"
"HGNC:13506","FEZF2"
"HGNC:743","ASGR2"
"HGNC:14075","SGCZ"
"HGNC:37203","VWC2L"
"HGNC:13841","ADGRG6"
"HGNC:8656","PCDH11X"
"HGNC:49229","LINC01107"
"HGNC:21732","ANTXR2"
"HGNC:5995","IL1RAP"
"HGNC:6484","LAMA4"
"HGNC:10258","RORA"
"HGNC:8659","PCDH7"
"HGNC:12004","TPBG"
"HGNC:5292","HTR1F"
"HGNC:49633","LINC01202"
"HGNC:18608","LRRK1"
"HGNC:8742","PCP4"
"HGNC:10002","RGS6"
"HGNC:2186","COL11A1"
"HGNC:20421","LNX2"
"HGNC:23729","MKX"
"HGNC:19718","RXFP1"
"HGNC:1569","CCK"
"HGNC:11220","SPARCL1"
"HGNC:21204","IPCEF1"
"HGNC:12635","UTRN"
"HGNC:11949","TNNT2"
"HGNC:15521","KCNIP1"
"HGNC:20392","SULF2"
"HGNC:6249","KCNG2"
"HGNC:39689","ANKRD26P3"
"HGNC:13823","NETO1"
"HGNC:8602","PAPPA"
"HGNC:2445","CSN1S1"
"HGNC:29229","NWD2"
"HGNC:51189","LINC01507"
"HGNC:26534","FER1L6-AS2"
"HGNC:19037","MAST4"
"HGNC:40780","NREP-AS1"
"HGNC:22128","NPSR1-AS1"
"HGNC:8774","PDE1A"
"HGNC:13433","ROBO3"
"HGNC:23631","NPSR1"
"HGNC:9011","PKD2L1"
"HGNC:43910","IFNG-AS1"
"HGNC:4454","GPC6"
"HGNC:43592","GDNF-AS1"
"HGNC:9709","PVT1"
"N/A","RNF144A-AS1"
"N/A","FAM19A2"
"HGNC:20851","FNBP1L"
"HGNC:18531","LRRC7"
"HGNC:6254","KCNH5"
"HGNC:19971","MED8"
"HGNC:29109","TESPA1"
"HGNC:3041","RCAN2"
"HGNC:7750","NELL1"
"HGNC:3666","FGF10"
"HGNC:49081","LINC01060"
"HGNC:3009","DPP4"
"HGNC:49259","LINC01116"
"HGNC:12338","TRPC6"
"HGNC:32419","RGPD6"
"HGNC:16767","GRIN3A"
"HGNC:17025","COL21A1"
"HGNC:1224","LDLRAD4"
"HGNC:5195","HS3ST2"
"HGNC:10964","SLC22A18"
"HGNC:21180","SAMD5"
"HGNC:30906","VILL"
"HGNC:8143","OPCML"
"HGNC:9407","PRKD1"
"N/A","C9ORF135-AS1"
"HGNC:21571","TMEM244"
"N/A","CTGF"
"HGNC:16709","CALCRL"
"HGNC:2032","CLDN1"
"HGNC:1884","CFTR"
"HGNC:414","ALDOA"
"HGNC:12810","XIST"
"HGNC:24589","FILIP1L"
"HGNC:8010","NRXN3"
"HGNC:6299","KCNQ5"
"HGNC:2855","DGKI"
"HGNC:27949","GADL1"
"HGNC:400","ALCAM"
"HGNC:50609","MYHAS"
"HGNC:28255","PCED1B"
"N/A","LINC01105"
"HGNC:42420","ZNF385D-AS2"
"HGNC:6678","LPO"
"HGNC:18638","SYT6"
"HGNC:2516","CTNND2"
"HGNC:27424","RBM20"
"HGNC:15110","OR1L8"
"HGNC:9444","PRKY"
"HGNC:12633","USP9Y"
"HGNC:23111","DCHS2"
"HGNC:2699","DDX3Y"
"HGNC:30416","SH2D1B"
"HGNC:54","ABCC3"
"HGNC:3173","EDIL3"
"HGNC:20986","SMYD1"
"HGNC:11251","SPOCK1"
"HGNC:29244","KCTD16"
"HGNC:11898","TNFAIP6"
"HGNC:33455","SLC15A5"
"HGNC:19061","FFAR4"
"HGNC:777","ZFHX3"
"HGNC:6368","KLK7"
"HGNC:18991","ADGRF2"
"HGNC:20834","CABP7"
"HGNC:1718","CDC14A"
"HGNC:30871","MGAT4C"
"HGNC:31822","PLCXD3"
"HGNC:18800","POGK"
"HGNC:48682","ADD3-AS1"
"HGNC:15836","PROKR2"
"HGNC:219","ADAMTS3"
"HGNC:10723","SEMA3A"
"HGNC:10706","SEC24D"
"HGNC:8792","PDE7B"
"HGNC:4180","GBE1"
"HGNC:30322","ARHGEF28"
"HGNC:30905","C8orf34"
"HGNC:19839","FRMD6"
"HGNC:11089","SLN"
"HGNC:13741","SNTG2"
"HGNC:29945","TENM4"
"HGNC:17448","CLSTN2"
"HGNC:26593","LY86-AS1"
"HGNC:26256","NDNF"
"HGNC:11509","SYT1"
"HGNC:427","ALK"
"HGNC:18222","RBFOX1"
"HGNC:8632","PBX1"
"HGNC:1069","BMP2"
"HGNC:18957","MAGI2"
"HGNC:7843","NMBR"
"HGNC:23149","UNC13C"
"HGNC:29411","TMEM132D"
"HGNC:8661","PCDH9"
"N/A","PVRL2"
"HGNC:1399","CACNA2D1"
"N/A","KIRREL"
"HGNC:1750","CDH11"
"HGNC:30265","RAB11FIP1"
"HGNC:18747","CNTNAP4"
"HGNC:25844","ZMAT4"
"HGNC:44222","NR2F2-AS1"
"HGNC:29191","LIMCH1"
"HGNC:8620","PAX6"
"HGNC:15781","CHRFAM7A"
"HGNC:19196","SP8"
"HGNC:13733","CDH23"
"HGNC:4451","GPC3"
"HGNC:31488","MIR101-1"
"HGNC:10479","RXRG"
"HGNC:3218","EFEMP1"
"N/A","SSTASIC4"
"HGNC:16968","ARPP21"
"HGNC:7976","NR2F2"
"HGNC:22980","SLC10A4"
"HGNC:2303","CPE"
"HGNC:29966","DEFB108B"
"HGNC:1438","CALCB"
"HGNC:30135","P4HA3"
"HGNC:1956","CHRNA2"
"HGNC:190","ADAM12"
"HGNC:20754","TRPC7"
"HGNC:43656","PROX1-AS1"
"HGNC:28557","KLHDC8B"
"HGNC:15589","SYTL5"
"HGNC:8005","NRP2"
"HGNC:19117","FGD5"
"HGNC:21420","CDK20"
"HGNC:2892","DKK2"
"HGNC:19179","CMTM8"
"HGNC:25876","CCNJL"
"HGNC:16443","NKAIN2"
"HGNC:3604","FBN2"
"HGNC:2065","CLIC6"
"HGNC:26099","ARHGAP10"
"HGNC:26332","ZNF385B"
"HGNC:37280","PRRT4"
"HGNC:18351","SHISA8"
"HGNC:3763","FLT1"
"HGNC:21263","ASIC4"
"HGNC:30578","EXPH5"
"HGNC:26538","VWA5B1"
"HGNC:14026","CSMD1"
"HGNC:6075","INPP4B"
"HGNC:2206","COL4A4"
"HGNC:7945","NPR3"
"HGNC:9595","PTGER3"
"HGNC:21397","SCML4"
"HGNC:17111","ADAMTS19"
"HGNC:1435","CALB2"
"HGNC:11044","SLC6A11"
"HGNC:4086","GABRG1"
"HGNC:16699","SORCS3"
"HGNC:23746","NECAB2"
"HGNC:12783","WNT4"
"N/A","CCDC109B"
"HGNC:23204","KIRREL3"
"HGNC:23015","FAM20A"
"HGNC:20209","SOX2-OT"
"HGNC:1543","CBLN1"
"HGNC:50528","LINC01322"
"HGNC:11201","SOX5"
"HGNC:3010","DPP6"
"HGNC:28431","LYPD1"
"HGNC:3390","EPHA7"
"HGNC:29654","PRR16"
"HGNC:49542","LINC01170"
"HGNC:21184","FNDC1"
"HGNC:9607","PTHLH"
"HGNC:26511","HSPB6"
"HGNC:18469","ZDHHC2"
"HGNC:7973","NR2E1"
"HGNC:23112","FAT3"
"HGNC:43896","CD27-AS1"
"HGNC:9600","PTGFR"
"HGNC:2661","DAB1"
"HGNC:48987","LINC01013"
"HGNC:30499","PHLDB3"
"HGNC:37231","SHISA9"
"HGNC:9024","PKP2"
"HGNC:8995","PIP5K1B"
"HGNC:10257","ROR2"
"HGNC:33842","AARD"
"HGNC:10776","SFRP1"
"HGNC:1382","CA8"
"HGNC:9414","PRKG1"
"HGNC:1368","CA1"
"HGNC:7756","NES"
"N/A","FAM19A4"
"HGNC:26808","DYNAP"
"HGNC:25396","FREM2"
"HGNC:16842","TP53I11"
"HGNC:17468","PDLIM5"
"HGNC:25807","SLC7A6OS"
"HGNC:13406","PCLO"
"HGNC:24785","YJEFN3"
"HGNC:7967","NR1H4"
"N/A","KAL1"
"HGNC:3959","FRZB"
"HGNC:1767","CDH8"
"HGNC:13622","SLC6A16"
"HGNC:7859","NMU"
