"Biomarker.IDs","Biomarker.Names"
"HGNC:15937","UBE2C"
"HGNC:11989","TOP2A"
"HGNC:1722","CDK1"
"HGNC:593","BIRC5"
"HGNC:18282","PBK"
"HGNC:1791","CDKN3"
"HGNC:7107","MKI67"
"HGNC:1723","CDC20"
"HGNC:1580","CCNB2"
"HGNC:14624","CDCA3"
"HGNC:124","ACP5"
"HGNC:613","APOE"
"HGNC:4947","HLA-DRA"
"HGNC:12449","TYROBP"
"HGNC:29612","LAPTM5"
"HGNC:10691","SDS"
"HGNC:3611","FCER1G"
"HGNC:1245","C1QC"
"HGNC:1242","C1QB"
"HGNC:9361","SRGN"
"HGNC:10001","RGS5"
"HGNC:38675","C11orf96"
"HGNC:3559","FABP4"
"HGNC:2470","CSRP2"
"HGNC:11346","IL24"
"HGNC:24043","ADIRF"
"HGNC:29836","NDUFA4L2"
"HGNC:4555","GPX3"
"HGNC:5473","IGFBP4"
"HGNC:17474","ESAM"
"HGNC:13635","PLVAP"
"HGNC:20369","RGCC"
"HGNC:3349","ENG"
"HGNC:8823","PECAM1"
"HGNC:3466","ESM1"
"HGNC:8583","SERPINE1"
"HGNC:2047","CLDN5"
"HGNC:11373","STC1"
"HGNC:7155","MMP1"
"HGNC:4403","GNG11"
"HGNC:7809","NGFR"
"HGNC:1758","CDH19"
"HGNC:18414","UCN2"
"HGNC:11190","SOX10"
"HGNC:10486","S100A1"
"HGNC:9086","PLP1"
"HGNC:30795","TSPAN11"
"HGNC:16267","WNT16"
"HGNC:11195","SOX2"
"HGNC:11742","TFAP2A"
"HGNC:2197","COL1A1"
"HGNC:2198","COL1A2"
"HGNC:2213","COL6A3"
"HGNC:2201","COL3A1"
"HGNC:11822","TIMP3"
"HGNC:11820","TIMP1"
"HGNC:18831","CTHRC1"
"HGNC:10777","SFRP2"
"HGNC:1044","BGN"
"HGNC:6724","LUM"
"HGNC:1047","BHMT"
"HGNC:16096","VSTM2L"
"HGNC:37226","PHGR1"
"HGNC:11857","TM4SF5"
"HGNC:536","ANXA13"
"HGNC:742","ASGR1"
"HGNC:2766","DEFB1"
"HGNC:22989","COL22A1"
"HGNC:24956","OLFML3"
"HGNC:636","AQP3"
"HGNC:7001","MEIS2"
"HGNC:5361","ID2"
"HGNC:39886","GPC5-AS1"
"HGNC:24323","CARTPT"
"HGNC:14370","PRSS23"
"HGNC:3490","ETV1"
"N/A","PPY2"
"HGNC:12412","TUBB2A"
"HGNC:9922","RBP4"
"HGNC:8941","SERPINA1"
"HGNC:9998","RGS2"
"HGNC:8743","PCSK1"
"HGNC:23400","SEC11C"
"HGNC:4901","HHEX"
"HGNC:6554","LEPR"
"HGNC:6972","MDK"
"HGNC:6728","LY6H"
"HGNC:11255","SPP1"
"HGNC:7174","MMP7"
"HGNC:5476","IGFBP7"
"HGNC:542","ANXA4"
"HGNC:6526","LCN2"
"HGNC:1228","SERPING1"
"HGNC:9951","REG1A"
"HGNC:9475","PRSS1"
"HGNC:2522","CTRB2"
"HGNC:2521","CTRB1"
"HGNC:9952","REG1B"
"HGNC:15944","CELA3A"
"HGNC:9483","PRSS2"
"HGNC:8601","REG3A"
"HGNC:2296","CPA1"
"HGNC:2085","CLPS"
"HGNC:5329","IAPP"
"HGNC:2907","DLK1"
"HGNC:33527","INS-IGF2"
"HGNC:28906","G6PC2"
"HGNC:4799","HADH"
"HGNC:241","ADCYAP1"
"HGNC:4620","GSN"
"HGNC:7953","NPTX2"
"HGNC:35164","C12orf75"
"HGNC:12405","TTR"
"HGNC:9286","PPP1R1A"
"HGNC:2395","CRYBA2"
"HGNC:11856","TM4SF4"
"HGNC:6408","MAFB"
"HGNC:4187","GC"
"HGNC:8744","PCSK2"
"HGNC:8830","PEMT"
