"Biomarker.IDs","Biomarker.Names"
"HGNC:15917","PLCB1"
"HGNC:13299","LGR4"
"HGNC:28095","BICDL1"
"HGNC:8622","PAX8"
"HGNC:6817","MAL"
"HGNC:15460","CACNA2D3"
"HGNC:1799","CDR2"
"HGNC:9647","PTPN14"
"HGNC:9016","PKHD1"
"HGNC:49222","LINC01099"
"HGNC:8783","PDE4D"
"HGNC:7979","NR3C2"
"HGNC:10588","SCN2A"
"HGNC:16018","CADPS2"
"HGNC:23571","COBLL1"
"HGNC:11972","TOX3"
"HGNC:18141","DCDC2"
"HGNC:23842","ABTB2"
"HGNC:7608","MYO9A"
"HGNC:50526","LINC01320"
"HGNC:13875","FOXP2"
"HGNC:19351","BICC1"
"HGNC:15822","OXR1"
"HGNC:1391","CACNA1D"
"HGNC:49049","LINC01055"
"HGNC:676","ARHGAP6"
"HGNC:3670","FGF13"
"HGNC:17994","TRPM7"
"HGNC:3474","ESRRG"
"HGNC:799","ATP1A1"
"HGNC:52552","LINC01762"
"HGNC:14294","SHANK3"
"HGNC:20822","ADGRL4"
"HGNC:20594","EGFL7"
"HGNC:11724","TEK"
"HGNC:1814","CEACAM1"
"HGNC:20203","NOSTRIN"
"HGNC:10955","SLCO2A1"
"HGNC:16709","CALCRL"
"HGNC:15985","SVEP1"
"HGNC:1750","CDH11"
"HGNC:21063","MOXD1"
"HGNC:31822","PLCXD3"
"HGNC:9035","PLA2G4A"
"HGNC:7821","NID1"
"HGNC:29063","ATRNL1"
"HGNC:11252","SPON1"
"HGNC:13176","IKZF1"
"HGNC:2988","DOCK2"
"HGNC:9666","PTPRC"
"HGNC:3531","F13A1"
"HGNC:4036","FYB1"
"HGNC:548","AOAH"
"HGNC:6079","INPP5D"
"HGNC:7228","MRC1"
"HGNC:25082","SMAP2"
"HGNC:13536","ATP8B4"
"HGNC:49575","LINC01187"
"HGNC:18264","ATP6V1C2"
"HGNC:16347","GALNT17"
"HGNC:5986","IL18"
"HGNC:17438","CLNK"
"HGNC:18140","RHCG"
"HGNC:6142","ITGA6"
"HGNC:6415","KRT13"
"HGNC:3189","EEF1A1"
"HGNC:10496","S100A6"
"HGNC:3246","EHF"
"HGNC:25990","AMBRA1"
"HGNC:6526","LCN2"
"HGNC:11092","SLPI"
"HGNC:10354","RPL41"
"HGNC:10372","RPLP1"
"HGNC:18866","KCNT2"
"HGNC:15472","ALDH1A2"
"HGNC:8614","PAWR"
"HGNC:25491","FRMD4A"
"HGNC:50753","LINC01435"
"HGNC:8774","PDE1A"
"HGNC:25341","RHEX"
"HGNC:17089","SYNE1"
"HGNC:17111","ADAMTS19"
"HGNC:12796","WT1"
"HGNC:14074","FMN2"
"HGNC:23319","NTNG1"
"HGNC:9678","PTPRO"
"HGNC:21711","ZNF804A"
"HGNC:19343","ST6GALNAC3"
"HGNC:18610","KSR2"
"HGNC:18708","GRIP1"
"HGNC:3522","EYA4"
"HGNC:494","ANK3"
"HGNC:9386","PRKAG2"
"HGNC:26197","C11orf80"
"HGNC:3498","MECOM"
"HGNC:8602","PAPPA"
"HGNC:27968","LINC01020"
"HGNC:9071","PLG"
"HGNC:14412","AGXT2"
"HGNC:19288","ACMSD"
"HGNC:18762","SLC36A2"
"HGNC:1768","CDH9"
"HGNC:52862","LINC02027"
"HGNC:17224","RAB11FIP3"
"HGNC:1758","CDH19"
"HGNC:8008","NRXN1"
"HGNC:7656","NCAM1"
"HGNC:18319","PRIMA1"
"HGNC:29849","CADM2"
"HGNC:29025","ZNF536"
"HGNC:945","ADGRB3"
"HGNC:3379","EPB41L2"
"HGNC:19164","STARD13"
"HGNC:10594","SCN7A"
"HGNC:4441","GP2"
"HGNC:2023","CLCN5"
"HGNC:25931","CGNL1"
"HGNC:3473","ESRRB"
"HGNC:9026","PKP4"
"HGNC:42872","CARMN"
"HGNC:1390","CACNA1C"
"HGNC:20974","ADGRL3"
"HGNC:18603","COL25A1"
"HGNC:9414","PRKG1"
"HGNC:2897","DLC1"
"HGNC:29654","PRR16"
"HGNC:12682","VEGFC"
"HGNC:23813","CCDC3"
"HGNC:1662","CD34"
"HGNC:1753","CDH13"
"HGNC:1952","CHRM3"
"HGNC:21096","GFOD1"
"HGNC:29227","HEG1"
"HGNC:28881","PATJ"
"HGNC:9845","RAMP3"
"HGNC:11843","TLL1"
"HGNC:16084","LIMS2"
"HGNC:53007","LINC02147"
"HGNC:4460","GPM6A"
"HGNC:18509","FCRL1"
"HGNC:8619","PAX5"
"HGNC:5541","IGHM"
