"Biomarker.IDs","Biomarker.Names"
"HGNC:25361","ARHGAP24"
"N/A","MARCH1"
"HGNC:18233","BANK1"
"HGNC:30279","RALGPS2"
"HGNC:21030","ARHGAP15"
"HGNC:30513","RAB7B"
"HGNC:6059","IDO1"
"HGNC:27269","IDO2"
"HGNC:29323","WDFY4"
"HGNC:17069","FNBP1"
"HGNC:28416","CCDC26"
"HGNC:14065","HDAC9"
"HGNC:20653","SLC9A9"
"HGNC:8973","PIK3C2G"
"HGNC:48667","TEX41"
"HGNC:8776","PDE1C"
"HGNC:19152","PACRG"
"HGNC:9595","PTGER3"
"HGNC:33235","PWRN1"
"HGNC:51128","LINC01482"
"HGNC:19133","HS6ST2"
"HGNC:10263","RP1"
"HGNC:51656","LINC01606"
"HGNC:25191","CCDC148"
"HGNC:15710","LDB3"
"HGNC:6228","KCNAB1"
"HGNC:30552","PDZRN4"
"HGNC:6647","LMOD1"
"HGNC:13748","DLEU2"
"HGNC:1928","FOXN3"
"HGNC:10471","RUNX1"
"HGNC:1224","LDLRAD4"
"HGNC:5724","RBPJ"
"HGNC:2550","CELF2"
"HGNC:3768","FMN1"
"HGNC:17422","CHST11"
"HGNC:9395","PRKCB"
"HGNC:12554","UGT2B7"
"HGNC:22946","GALNT14"
"HGNC:40625","ADAMTS9-AS1"
"HGNC:18634","UNC5D"
"HGNC:6163","ITGB8"
"HGNC:25450","STOX2"
"HGNC:14656","DSCAML1"
"HGNC:30207","ARHGAP29"
"HGNC:18957","MAGI2"
"HGNC:2204","COL4A3"
"HGNC:16932","NEBL"
"HGNC:3227","EFNB2"
"HGNC:11496","SYN3"
"HGNC:9665","PTPRB"
"HGNC:9228","PLPP1"
"HGNC:1535","RUNX1T1"
"HGNC:11822","TIMP3"
"HGNC:26438","TMEM52B"
"HGNC:3229","EGF"
"HGNC:14605","ADAMTS12"
"HGNC:36","ABCA6"
"HGNC:29426","CCBE1"
"HGNC:24039","CLMP"
"HGNC:24176","BTNL9"
"HGNC:9229","PLPP3"
"HGNC:6772","SMAD6"
"HGNC:27600","LINC01924"
"HGNC:1485","CAPN8"
"HGNC:31750","SAMD12"
"HGNC:23219","NAALADL2"
"HGNC:1742","LRBA"
"HGNC:8659","PCDH7"
"HGNC:23616","SLC35F3"
"HGNC:2855","DGKI"
"HGNC:19322","PPM1E"
"HGNC:18486","PDZD2"
"HGNC:20313","PKHD1L1"
"HGNC:10723","SEMA3A"
"HGNC:3761","FLRT2"
"HGNC:9957","RELN"
"HGNC:37240","GRAPL"
"HGNC:3325","ELK3"
"HGNC:4814","KALRN"
"HGNC:13375","MS4A6A"
"HGNC:18628","STAB1"
"HGNC:10941","SLC1A3"
"HGNC:16016","COLEC12"
"HGNC:30375","CD163L1"
"HGNC:11848","TLR2"
"HGNC:10962","SLCO2B1"
"HGNC:11878","TMPRSS4"
"HGNC:9246","PPFIA2"
"HGNC:964","BBOX1"
"HGNC:14615","PAPPA2"
"HGNC:3432","ERBB4"
"HGNC:6161","ITGB6"
"HGNC:1440","CALCR"
"HGNC:22953","DEPTOR"
"HGNC:14120","TPSB2"
"HGNC:4855","HDC"
"HGNC:11070","SLC8A3"
"HGNC:10935","SLC18A2"
"HGNC:10977","SLC24A3"
"HGNC:4563","GRAP2"
"HGNC:5988","IL18R1"
"HGNC:4171","GATA2"
"HGNC:6705","LSAMP"
"HGNC:26084","PID1"
"HGNC:7000","MEIS1"
"HGNC:6482","LAMA2"
"HGNC:18374","HPSE2"
"HGNC:3166","LPAR1"
"HGNC:10883","SIM2"
"HGNC:804","ATP1B1"
"HGNC:336","AGTR1"
"N/A","WISP1"
"HGNC:18143","DAAM2"
"HGNC:2435","CSF2RA"
"HGNC:10467","RTN1"
"HGNC:4940","HLA-DPB1"
"HGNC:7067","CIITA"
"HGNC:4948","HLA-DRB1"
"HGNC:7376","MSR1"
"HGNC:7547","MYBL1"
"HGNC:33920","SLFN12L"
"HGNC:13178","IKZF3"
"HGNC:21574","SAMD3"
"HGNC:579","APBA2"
"HGNC:11365","STAT4"
"HGNC:6761","MXD1"
"HGNC:6174","ITM2B"
"HGNC:3999","FTL"
"HGNC:132","ACTB"
"HGNC:2861","DHFR"
"HGNC:10907","SLC11A1"
"HGNC:7600","MYO1F"
"HGNC:3337","ADGRE2"
"HGNC:17020","IRAK3"
"HGNC:11609","TBXAS1"
"HGNC:3041","RCAN2"
"HGNC:866","ATP6V0A4"
"HGNC:1077","BMPR1B"
"HGNC:17992","TRPM3"
"HGNC:11244","SPINK1"
"HGNC:4554","GPX2"
"HGNC:18349","DHRS2"
"HGNC:23204","KIRREL3"
"HGNC:24778","KLRG2"
"HGNC:29075","FAM189A1"
"HGNC:18222","RBFOX1"
"HGNC:3330","EML1"
"HGNC:5527","IGHG3"
"HGNC:5525","IGHG1"
"HGNC:9211","POU2AF1"
"HGNC:5529","IGHGP"
"HGNC:43910","IFNG-AS1"
"HGNC:5478","IGHA1"
"HGNC:24712","TENT5C"
"HGNC:28613","MEI1"
"HGNC:13258","CLEC4C"
"HGNC:51121","LINC01478"
"HGNC:2064","CLIC3"
"N/A","FAM129C"
"HGNC:19347","CUX2"
"HGNC:25723","VASH2"
"HGNC:13221","BCL11A"
"HGNC:20420","RUBCNL"
"HGNC:27800","LINC00996"
"HGNC:50506","TARID"
"HGNC:24490","ARHGEF26"
"HGNC:316","AFM"
"HGNC:8582","PAH"
"HGNC:11001","SLC28A1"
"HGNC:42674","SMIM2-AS1"
"HGNC:30931","ACSM2B"
"HGNC:2033","CLDN10"
"HGNC:13446","SLC2A9"
"HGNC:18246","CRYL1"
"HGNC:16001","SUGCT"
"HGNC:18185","ERRFI1"
"HGNC:44339","LINC00671"
"HGNC:14599","TINAG"
"HGNC:11046","SLC6A13"
"HGNC:3013","DPYS"
"HGNC:59","ABCC8"
"HGNC:2190","COL13A1"
"HGNC:1402","CACNB2"
"HGNC:234","ADCY3"
"HGNC:8995","PIP5K1B"
"HGNC:4576","GRID2"
"HGNC:15466","WFDC1"
"HGNC:11087","SLIT3"
"HGNC:25851","GINS3"
"HGNC:33480","CYP27C1"
"HGNC:21569","THEMIS"
"HGNC:6171","ITK"
"HGNC:13222","BCL11B"
"HGNC:52757","LINC01934"
"HGNC:1464","CAMK4"
"HGNC:686","RHOH"
"HGNC:26295","CCDC102B"
"HGNC:10001","RGS5"
"HGNC:6836","MAP1B"
"HGNC:19134","HS6ST3"
"HGNC:26209","ZCCHC7"
"HGNC:29173","KAZN"
"HGNC:11086","SLIT2"
"HGNC:946","MAGI1"
"HGNC:25308","TMEM117"
"HGNC:1180","MPPED2"
"HGNC:27036","RALYL"
"HGNC:25892","AGBL4"
"HGNC:55","ABCC4"
"HGNC:28653","TMEM101"
"HGNC:18988","TOX"
"HGNC:2850","DGKB"
"HGNC:29244","KCTD16"
"HGNC:7782","NFE2L2"
"HGNC:14540","WNK1"
"HGNC:6343","KITLG"
"HGNC:19307","SDK1"
"HGNC:30035","PIK3R5"
"HGNC:9646","PTPN13"
