"Biomarker.IDs","Biomarker.Names"
"HGNC:13633","ADIPOQ"
"HGNC:85","ACACB"
"HGNC:4263","GHR"
"HGNC:8779","PDE3B"
"HGNC:9392","PRKAR2B"
"HGNC:9076","PLIN1"
"HGNC:9236","PPARG"
"HGNC:30229","G0S2"
"HGNC:16266","SLC19A3"
"HGNC:5716","IGKC"
"HGNC:5541","IGHM"
"HGNC:30125","MZB1"
"HGNC:5478","IGHA1"
"HGNC:6473","AFF3"
"HGNC:1697","CD74"
"HGNC:18233","BANK1"
"HGNC:43910","IFNG-AS1"
"HGNC:29108","SEL1L3"
"HGNC:4410","GNG7"
"HGNC:10484","RYR2"
"HGNC:3668","FGF12"
"HGNC:21355","MLIP"
"HGNC:27424","RBM20"
"HGNC:15819","ANKRD1"
"HGNC:27365","TECRL"
"HGNC:7551","MYBPC3"
"HGNC:10807","SGCD"
"HGNC:6533","LDB2"
"HGNC:1183","ANO2"
"HGNC:5397","IFI27"
"HGNC:16041","EMCN"
"HGNC:9665","PTPRB"
"HGNC:3763","FLT1"
"HGNC:3498","MECOM"
"HGNC:20594","EGFL7"
"HGNC:612","APOD"
"HGNC:10522","ACSM3"
"HGNC:2771","CFD"
"HGNC:39","ABCA9"
"HGNC:7060","MGP"
"HGNC:6482","LAMA2"
"HGNC:29173","KAZN"
"HGNC:36","ABCA6"
"HGNC:10620","CCL21"
"HGNC:7178","MMRN1"
"HGNC:20313","PKHD1L1"
"HGNC:7999","NRG3"
"HGNC:9957","RELN"
"HGNC:10723","SEMA3A"
"HGNC:13741","SNTG2"
"HGNC:9249","PPFIBP1"
"HGNC:25450","STOX2"
"HGNC:19343","ST6GALNAC3"
"HGNC:5988","IL18R1"
"HGNC:6342","KIT"
"HGNC:10977","SLC24A3"
"HGNC:17941","NTM"
"HGNC:2298","CPA3"
"HGNC:11070","SLC8A3"
"HGNC:14434","CDK15"
"HGNC:17890","HPGDS"
"HGNC:26836","SLC38A11"
"HGNC:9767","RAB27B"
"HGNC:18259","ITLN1"
"HGNC:30552","PDZRN4"
"HGNC:20862","SLC39A8"
"HGNC:9364","PRG4"
"HGNC:4242","GFPT2"
"HGNC:1318","C3"
"HGNC:29435","WWC1"
"HGNC:18866","KCNT2"
"HGNC:4818","HAS1"
"HGNC:3531","F13A1"
"HGNC:5724","RBPJ"
"HGNC:1631","CD163"
"HGNC:30358","RBM47"
"HGNC:7228","MRC1"
"HGNC:3768","FMN1"
"HGNC:13375","MS4A6A"
"HGNC:7376","MSR1"
"HGNC:24886","FRMD4B"
"HGNC:7027","MERTK"
"HGNC:29849","CADM2"
"HGNC:29394","XKR4"
"HGNC:1758","CDH19"
"HGNC:1939","CHL1"
"HGNC:23204","KIRREL3"
"HGNC:16697","SORCS1"
"HGNC:7657","NCAM2"
"HGNC:4461","GPM6B"
"HGNC:26124","PARP8"
"HGNC:6024","IL7R"
"HGNC:21569","THEMIS"
"HGNC:548","AOAH"
"HGNC:15605","SKAP1"
"HGNC:1677","CD247"
"HGNC:6171","ITK"
"HGNC:9666","PTPRC"
"HGNC:1464","CAMK4"
"HGNC:4414","GNLY"
"HGNC:1674","CD3E"
"HGNC:4684","GUCY1A2"
"HGNC:26810","EGFLAM"
"HGNC:24125","FRMD3"
"HGNC:2897","DLC1"
"HGNC:333","AGT"
"HGNC:8804","PDGFRB"
"HGNC:3420","EPS8"
"HGNC:9038","PLA2G5"
"HGNC:6144","ITGA8"
"HGNC:42872","CARMN"
"HGNC:6228","KCNAB1"
"HGNC:777","ZFHX3"
"HGNC:8033","NTRK3"
"HGNC:9414","PRKG1"
"HGNC:3041","RCAN2"
"HGNC:7061","MGST1"
"HGNC:42770","LINC00598"
"HGNC:27502","LINC00639"
"HGNC:25945","ARL15"
"HGNC:5472","IGFBP3"
"HGNC:8747","PCSK5"
"HGNC:11853","TM4SF1"
"HGNC:3227","EFNB2"
"HGNC:2910","DLL4"
"HGNC:4880","HEY1"
"HGNC:4279","GJA5"
"HGNC:3432","ERBB4"
"HGNC:14305","CMYA5"
"HGNC:30279","RALGPS2"
"HGNC:24176","BTNL9"
"HGNC:3560","FABP5"
"HGNC:20369","RGCC"
"HGNC:3546","F8"
"HGNC:17038","MGLL"
"HGNC:1375","CA4"
"HGNC:19030","ADGRF5"
"HGNC:29132","ABLIM3"
"HGNC:14674","PCDH15"
"HGNC:6554","LEPR"
"HGNC:7997","NRG1"
"HGNC:16953","POSTN"
"HGNC:8659","PCDH7"
"HGNC:25436","TMEM132C"
"HGNC:1750","CDH11"
"HGNC:28451","TMEM108"
"HGNC:19156","MYRIP"
"HGNC:10955","SLCO2A1"
"N/A","FAM155A"
"HGNC:5993","IL1R1"
"HGNC:30083","KCNIP4"
"HGNC:17302","NEGR1"
"HGNC:38","ABCA8"
"HGNC:19689","RD3"
"HGNC:12019","TPSAB1"
"HGNC:4855","HDC"
"HGNC:7316","MS4A2"
"HGNC:8469","OR8A1"
"HGNC:11760","TFPI"
"HGNC:3225","EFNA5"
"HGNC:9459","PROX1"
"HGNC:16016","COLEC12"
"HGNC:18628","STAB1"
"HGNC:18222","RBFOX1"
"HGNC:10498","S100A8"
"HGNC:10499","S100A9"
"HGNC:10907","SLC11A1"
"HGNC:206","ADAM28"
"HGNC:3765","FLT3"
"HGNC:945","ADGRB3"
"HGNC:12434","TXK"
"HGNC:6378","KLRD1"
"HGNC:10630","CCL4"
"HGNC:10632","CCL5"
"HGNC:9360","PRF1"
"HGNC:19859","TC2N"
"HGNC:13222","BCL11B"
"HGNC:9410","PRKCQ"
"HGNC:12015","TPO"
"HGNC:4035","ACKR1"
"HGNC:13010","TSHZ2"
"HGNC:9845","RAMP3"
"HGNC:40","ABCB1"
"HGNC:16709","CALCRL"
"HGNC:16274","CYYR1"
"HGNC:5474","IGFBP5"
"HGNC:3395","EPHB4"
"N/A","NPP2"
"HGNC:2511","CTNNA3"
"HGNC:11068","SLC8A1"
"HGNC:7613","MYOM1"
