"Biomarker.IDs","Biomarker.Names"
"HGNC:18509","FCRL1"
"HGNC:14875","FCRL2"
"HGNC:25361","ARHGAP24"
"HGNC:18233","BANK1"
"HGNC:30279","RALGPS2"
"HGNC:1666","CD37"
"HGNC:17070","SWAP70"
"HGNC:1698","CD79A"
"HGNC:6551","LEF1"
"HGNC:11639","TCF7"
"HGNC:6555","LEPROTL1"
"HGNC:1674","CD3E"
"HGNC:1675","CD3G"
"HGNC:1707","CD8B"
"HGNC:7751","NELL2"
"HGNC:10500","S100B"
"HGNC:13258","CLEC4C"
"HGNC:9451","PROC"
"HGNC:10607","SCT"
"HGNC:10597","SCN9A"
"HGNC:30633","SHD"
"HGNC:20785","PPM1J"
"HGNC:24838","ENHO"
"HGNC:15503","LILRA4"
"HGNC:2959","DNASE1L3"
"HGNC:16968","ARPP21"
"HGNC:37100","CFAP73"
"HGNC:370","AKAP12"
"HGNC:14346","C1QTNF4"
"HGNC:25215","LYPD2"
"HGNC:3795","FOLR3"
"HGNC:14555","CLEC4E"
"HGNC:6602","LILRA1"
"HGNC:1712","CDA"
"HGNC:30316","RBP7"
"HGNC:29883","CD300LF"
"HGNC:3826","FPR1"
"HGNC:15855","CD93"
"HGNC:24307","MTMR11"
"HGNC:6731","NCR1"
"HGNC:30416","SH2D1B"
"HGNC:6374","KLRC1"
"HGNC:14370","PRSS23"
"HGNC:17013","CD160"
"HGNC:18811","B3GNT7"
"HGNC:6009","IL2RB"
"HGNC:5989","IL18RAP"
"HGNC:13342","KLRF1"
"HGNC:13811","SLC4A10"
"HGNC:10258","RORA"
"HGNC:13564","SPOCK2"
"HGNC:6776","MAF"
"HGNC:1108","ZFP36L2"
"HGNC:26021","LYAR"
"HGNC:14871","PPP1R14A"
"HGNC:11771","TGFBI"
"HGNC:12580","UPK3A"
"HGNC:23792","PLD4"
"HGNC:7316","MS4A2"
"HGNC:14120","TPSB2"
"HGNC:5998","IL1RL1"
"HGNC:9362","PRG2"
"HGNC:27291","MCEMP1"
"HGNC:28874","CD300E"
"HGNC:1338","C5AR1"
"HGNC:17343","APOBEC3A"
"HGNC:30387","VMO1"
"HGNC:24162","TPPP3"
"HGNC:1241","C1QA"
"HGNC:19680","GPBAR1"
"HGNC:3766","FLT3LG"
"HGNC:1691","CD6"
"HGNC:570","AP3M2"
"HGNC:1464","CAMK4"
"HGNC:3042","RCAN3"
"HGNC:13222","BCL11B"
"HGNC:13010","TSHZ2"
"HGNC:1608","CCR7"
"HGNC:3701","FHIT"
"HGNC:29546","SH3YL1"
"HGNC:24942","PIK3IP1"
"HGNC:24313","CRTAM"
"HGNC:5438","IFNG"
"HGNC:24066","CCL4L2"
"HGNC:10646","XCL2"
"HGNC:28495","ZNF683"
"HGNC:6375","KLRC2"
"HGNC:31910","FCRL6"
"HGNC:14299","S1PR5"
"HGNC:29451","FGFBP2"
"HGNC:33630","PATL2"
"HGNC:6476","LAG3"
"HGNC:4712","GZMM"
"HGNC:27013","TRABD2A"
"HGNC:25128","OXNAD1"
"HGNC:6059","IDO1"
"HGNC:11530","TACSTD2"
"HGNC:50357","WFDC21P"
"HGNC:17438","CLNK"
"HGNC:28915","BATF3"
"HGNC:6562","LGALS2"
"HGNC:5974","IL13RA1"
"HGNC:26215","PLBD1"
"HGNC:1659","CD33"
"HGNC:5953","IGSF6"
"HGNC:5398","IFI30"
"HGNC:24104","ACY3"
"HGNC:9483","PRSS2"
"HGNC:37244","SMIM24"
"HGNC:16834","NREP"
"HGNC:28433","SPNS3"
"HGNC:24546","CNRIP1"
"HGNC:11762","TFR2"
"HGNC:6869","MAP7"
"HGNC:11148","FSCN1"
"HGNC:23172","MYCT1"
"HGNC:2411","CRYGD"
"HGNC:26384","IGSF10"
"HGNC:8632","PBX1"
"HGNC:8942","SERPINB10"
"HGNC:10046","RNASE3"
"HGNC:10045","RNASE2"
"HGNC:20389","RETN"
"HGNC:30509","NPW"
"HGNC:27375","MSRB3"
"HGNC:7899","NPDC1"
"HGNC:6533","LDB2"
"HGNC:2530","CTSE"
"HGNC:23442","IFIT1B"
"N/A","TMEM56"
"HGNC:244","ADD2"
"HGNC:2439","CSF3R"
"HGNC:29549","SPIC"
"HGNC:3557","FABP3"
"HGNC:1690","CD5L"
"HGNC:10616","CCL18"
"HGNC:1245","C1QC"
"HGNC:1242","C1QB"
"HGNC:3559","FABP4"
"HGNC:613","APOE"
"HGNC:10751","SELENOP"
"HGNC:19077","NCR3"
"HGNC:18153","TNFRSF13B"
"HGNC:9163","PNOC"
"HGNC:1057","BLK"
"HGNC:4937","HLA-DOB"
"HGNC:17755","TNFRSF13C"
"HGNC:18508","FCRL5"
"HGNC:6478","LAIR2"
"HGNC:9591","PTGDR"
"HGNC:11599","TBX21"
"HGNC:24045","SPTSSB"
"HGNC:7656","NCAM1"
"HGNC:11914","TNFRSF18"
"HGNC:12441","TYMS"
"HGNC:1677","CD247"
"HGNC:745","ASIP"
"HGNC:30386","SCAMP5"
"HGNC:21290","PTCRA"
"HGNC:31409","LRRC26"
"HGNC:5860","IGLC6"
"HGNC:5927","IGLV6-57"
"HGNC:5896","IGLV3-1"
"HGNC:5861","IGLC7"
"HGNC:24963","JSRP1"
"HGNC:5741","IGKV1-5"
"HGNC:14261","RGS18"
"HGNC:28191","C2orf88"
"HGNC:25620","TMEM40"
"HGNC:2662","DAB2"
"HGNC:11219","SPARC"
"HGNC:19760","RUFY1"
"HGNC:3531","F13A1"
"HGNC:7955","NPY"
"HGNC:17337","LCN6"
"HGNC:9832","RAG2"
"HGNC:29677","HMHB1"
"N/A","C10orf10"
"HGNC:44102","SLC8A1-AS1"
"HGNC:7183","MNDA"
"HGNC:15925","SAMHD1"
"HGNC:404","ALDH2"
"HGNC:8590","PAK1"
"HGNC:6608","LILRB4"
"HGNC:9681","PTPRS"
"HGNC:11946","TNNI2"
"HGNC:11242","SPIB"
