"Biomarker.IDs","Biomarker.Names"
"HGNC:13469","TNFRSF21"
"HGNC:3126","EBF1"
"HGNC:5870","IGLL1"
"HGNC:12556","UHRF1"
"HGNC:14211","BLNK"
"HGNC:327","AGPS"
"HGNC:28139","SPX"
"HGNC:15466","WFDC1"
"HGNC:541","ANXA3"
"HGNC:19176","CMTM5"
"HGNC:10721","SELP"
"HGNC:19098","RBPMS2"
"HGNC:676","ARHGAP6"
"HGNC:6714","LTBP1"
"HGNC:5474","IGFBP5"
"HGNC:2295","CP"
"HGNC:11740","TF"
"HGNC:2705","DCN"
"HGNC:6724","LUM"
"HGNC:2198","COL1A2"
"HGNC:2355","CRH"
"HGNC:5318","TNC"
"HGNC:11220","SPARCL1"
"HGNC:1072","BMP5"
"HGNC:10452","RRM2"
"HGNC:7107","MKI67"
"HGNC:593","BIRC5"
"HGNC:6524","LCK"
"HGNC:10820","SH2D1A"
"HGNC:19715","CLSPN"
"HGNC:24576","CDT1"
"HGNC:11830","TK1"
"HGNC:11989","TOP2A"
"HGNC:1070","BMP3"
"HGNC:5859","IGLC5"
"HGNC:582","APBB2"
"HGNC:5185","HRK"
"HGNC:3060","DTX1"
