"Organ","Cell.Types","Num.Cells"
"fetal_development","Adrenal-Adrenocortical cells",5000
"fetal_development","Adrenal-Chromaffin cells",5000
"fetal_development","Adrenal-CSH1_CSH2 positive cells",93
"fetal_development","Adrenal-Erythroblasts",2750
"fetal_development","Adrenal-Lymphoid cells",633
"fetal_development","Adrenal-Megakaryocytes",931
"fetal_development","Adrenal-Myeloid cells",2389
"fetal_development","Adrenal-Schwann cells",981
"fetal_development","Adrenal-SLC26A4_PAEP positive cells",68
"fetal_development","Adrenal-Stromal cells",5000
"fetal_development","Adrenal-Sympathoblasts",3805
"fetal_development","Adrenal-Vascular endothelial cells",5000
"fetal_development","Cerebellum-Astrocytes",5000
"fetal_development","Cerebellum-Granule neurons",5000
"fetal_development","Cerebellum-Inhibitory interneurons",5000
"fetal_development","Cerebellum-Microglia",4428
"fetal_development","Cerebellum-Oligodendrocytes",5000
"fetal_development","Cerebellum-Purkinje neurons",5000
"fetal_development","Cerebellum-SLC24A4_PEX5L positive cells",5000
"fetal_development","Cerebellum-Unipolar brush cells",5000
"fetal_development","Cerebellum-Vascular endothelial cells",5000
"fetal_development","Cerebrum-Astrocytes",5000
"fetal_development","Cerebrum-Excitatory neurons",5000
"fetal_development","Cerebrum-Inhibitory neurons",5000
"fetal_development","Cerebrum-Limbic system neurons",5000
"fetal_development","Cerebrum-Megakaryocytes",36
"fetal_development","Cerebrum-Microglia",4459
"fetal_development","Cerebrum-Oligodendrocytes",5000
"fetal_development","Cerebrum-SKOR2_NPSR1 positive cells",5000
"fetal_development","Cerebrum-Vascular endothelial cells",5000
"fetal_development","Eye-Amacrine cells",5000
"fetal_development","Eye-Astrocytes",181
"fetal_development","Eye-Bipolar cells",1207
"fetal_development","Eye-Corneal and conjunctival epithelial cells",104
"fetal_development","Eye-Ganglion cells",5000
"fetal_development","Eye-Horizontal cells",2300
"fetal_development","Eye-Lens fibre cells",246
"fetal_development","Eye-Microglia",88
"fetal_development","Eye-PDE11A_FAM19A2 positive cells",806
"fetal_development","Eye-Photoreceptor cells",5000
"fetal_development","Eye-Retinal pigment cells",704
"fetal_development","Eye-Retinal progenitors and Muller glia",5000
"fetal_development","Eye-Skeletal muscle cells",148
"fetal_development","Eye-Smooth muscle cells",45
"fetal_development","Eye-Stromal cells",1049
"fetal_development","Eye-Vascular endothelial cells",211
"fetal_development","Heart-Cardiomyocytes",5000
"fetal_development","Heart-CLC_IL5RA positive cells",102
"fetal_development","Heart-ELF3_AGBL2 positive cells",164
"fetal_development","Heart-Endocardial cells",5000
"fetal_development","Heart-Epicardial fat cells",1891
"fetal_development","Heart-Erythroblasts",6
"fetal_development","Heart-Lymphatic endothelial cells",1251
"fetal_development","Heart-Lymphoid cells",1348
"fetal_development","Heart-Megakaryocytes",361
"fetal_development","Heart-Myeloid cells",1040
"fetal_development","Heart-SATB2_LRRC7 positive cells",318
"fetal_development","Heart-Schwann cells",535
"fetal_development","Heart-Smooth muscle cells",2036
"fetal_development","Heart-Stromal cells",5000
"fetal_development","Heart-Vascular endothelial cells",4911
"fetal_development","Heart-Visceral neurons",348
"fetal_development","Intestine-Chromaffin cells",599
"fetal_development","Intestine-ENS glia",2087
"fetal_development","Intestine-ENS neurons",2154
"fetal_development","Intestine-Erythroblasts",206
"fetal_development","Intestine-Intestinal epithelial cells",5000
"fetal_development","Intestine-Lymphatic endothelial cells",295
"fetal_development","Intestine-Lymphoid cells",2144
"fetal_development","Intestine-Mesothelial cells",212
"fetal_development","Intestine-Myeloid cells",2830
"fetal_development","Intestine-Smooth muscle cells",1149
"fetal_development","Intestine-Stromal cells",5000
"fetal_development","Intestine-Vascular endothelial cells",1459
"fetal_development","Kidney-Erythroblasts",250
"fetal_development","Kidney-Lymphoid cells",577
"fetal_development","Kidney-Megakaryocytes",67
"fetal_development","Kidney-Mesangial cells",5000
"fetal_development","Kidney-Metanephric cells",5000
"fetal_development","Kidney-Myeloid cells",3413
"fetal_development","Kidney-Stromal cells",1026
"fetal_development","Kidney-Ureteric bud cells",5000
"fetal_development","Kidney-Vascular endothelial cells",5000
"fetal_development","Liver-Erythroblasts",5000
"fetal_development","Liver-Hematopoietic stem cells",1096
"fetal_development","Liver-Hepatoblasts",5000
"fetal_development","Liver-Lymphoid cells",954
"fetal_development","Liver-Megakaryocytes",1661
"fetal_development","Liver-Mesothelial cells",246
"fetal_development","Liver-Myeloid cells",2766
"fetal_development","Liver-Stellate cells",1743
"fetal_development","Liver-Vascular endothelial cells",4580
"fetal_development","Lung-Bronchiolar and alveolar epithelial cells",5000
"fetal_development","Lung-Ciliated epithelial cells",2588
"fetal_development","Lung-CSH1_CSH2 positive cells",16
"fetal_development","Lung-Lymphatic endothelial cells",5000
"fetal_development","Lung-Lymphoid cells",2274
"fetal_development","Lung-Megakaryocytes",305
"fetal_development","Lung-Mesothelial cells",1074
"fetal_development","Lung-Myeloid cells",2416
"fetal_development","Lung-Neuroendocrine cells",1524
"fetal_development","Lung-Squamous epithelial cells",282
"fetal_development","Lung-Stromal cells",5000
"fetal_development","Lung-Vascular endothelial cells",5000
"fetal_development","Lung-Visceral neurons",262
"fetal_development","Muscle-Erythroblasts",38
"fetal_development","Muscle-Lymphatic endothelial cells",115
"fetal_development","Muscle-Lymphoid cells",88
"fetal_development","Muscle-Megakaryocytes",12
"fetal_development","Muscle-Myeloid cells",284
"fetal_development","Muscle-Satellite cells",5000
"fetal_development","Muscle-Schwann cells",253
"fetal_development","Muscle-Skeletal muscle cells",5000
"fetal_development","Muscle-Smooth muscle cells",575
"fetal_development","Muscle-Stromal cells",5000
"fetal_development","Muscle-Vascular endothelial cells",2091
"fetal_development","Pancreas-Acinar cells",5000
"fetal_development","Pancreas-CCL19_CCL21 positive cells",206
"fetal_development","Pancreas-Ductal cells",4829
"fetal_development","Pancreas-ENS glia",1036
"fetal_development","Pancreas-ENS neurons",287
"fetal_development","Pancreas-Erythroblasts",1261
"fetal_development","Pancreas-Islet endocrine cells",4768
"fetal_development","Pancreas-Lymphatic endothelial cells",139
