,
,
,
,
,
,
,
,
,
,
"AS/1","AS/2","AS/3"
"lungs","Capillary Aerocyte","Capillary Aerocyte"
"lungs","Capillary","Capillary"
"lungs","Capillary Intermediate","Capillary Intermediate 1"
"lungs","Capillary Intermediate","Capillary Intermediate 2"
"lungs","Dendritic","IGSF21+ Dendritic"
"lungs","Dendritic","Myeloid Dendritic Type 1"
"lungs","Plasmacytoid Dendritic","Plasmacytoid Dendritic"
"lungs","Dendritic","Myeloid Dendritic Type 2"
"lungs","B","B"
"lungs","Dendritic","EREG+ Dendritic"
"lungs","Macrophage","Macrophage"
"lungs","CD8 T","CD8+ Naive T"
"lungs","CD4 T","CD4+ Naive T"
"lungs","CD4 T","CD4+ Memory/Effector T"
"lungs","Vein","Vein"
"lungs","Artery","Artery"
"lungs","Pericyte","Pericyte"
"lungs","Smooth Muscle","Vascular Smooth Muscle"
"lungs","Club","Club"
"lungs","Mucous","Mucous"
"lungs","Alveolar Epithelial Type 2","Alveolar Epithelial Type 2"
"lungs","Basal","Basal"
"lungs","Lymphatic","Lymphatic"
"lungs","Proliferating Macrophage","Proliferating Macrophage"
"lungs","CD8 T","CD8+ Memory/Effector T"
"lungs","Proliferating NK/T","Proliferating NK/T"
"lungs","Natural Killer T","Natural Killer T"
"lungs","Natural Killer","Natural Killer"
"lungs","CD14+ Monocyte","OLR1+ Classical Monocyte"
"lungs","Basophil/Mast","Basophil/Mast 1"
"lungs","CD14+ Monocyte","Classical Monocyte"
"lungs","CD16+ Monocyte","Intermediate Monocyte"
"lungs","CD16+ Monocyte","Nonclassical Monocyte"
"lungs","Smooth Muscle","Airway Smooth Muscle"
"lungs","Ciliated","Ciliated"
"lungs","Fibroblast","Alveolar Fibroblast"
"lungs","Myofibroblast","Myofibroblast"
"lungs","Fibroblast","Adventitial Fibroblast"
"lungs","Alveolar Epithelial Type 1","Alveolar Epithelial Type 1"
"lungs","Platelet/Megakaryocyte","Platelet/Megakaryocyte"
"lungs","Dendritic","TREM2+ Dendritic"
"lungs","Basal","Differentiating Basal"
"lungs","Basal","Proliferating Basal"
"lungs","Plasma","Plasma"
"lungs","Bronchial Vessel","Bronchial Vessel 2"
"lungs","Bronchial Vessel","Bronchial Vessel 1"
"lungs","Lipofibroblast","Lipofibroblast"
"lungs","Mesothelial","Mesothelial"
"lungs","Basophil/Mast","Basophil/Mast 2"
"lungs","Alveolar Epithelial Type 2","Signaling Alveolar Epithelial Type 2"
"lungs","Basal","Proximal Basal"
"lungs","Neuroendocrine","Neuroendocrine"
"lungs","Fibromyocyte","Fibromyocyte"
"lungs","Ionocyte","Ionocyte"
"lungs","Serous","Serous"
"lungs","Ciliated","Proximal Ciliated"
"lungs","Goblet","Goblet"
