"Human Lung v2 cell types as anatomical structures from Azimuth reference data",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Author Name(s):","Azimuth & MC-IU",,,,,,,,,,,,,,,,,
"Author ORCID(s):",,,,,,,,,,,,,,,,,,
"Reviewer(s):",,,,,,,,,,,,,,,,,,
"General Publication(s):",,,,,,,,,,,,,,,,,,
"Data DOI:",,,,,,,,,,,,,,,,,,
"Date:","10/27/2022",,,,,,,,,,,,,,,,,
"Version Number:","v1.0",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"AS/1","AS/1/LABEL","AS/1/ID","AS/2","AS/2/LABEL","AS/2/ID","AS/3","AS/3/LABEL","AS/3/ID","AS/4","AS/4/LABEL","AS/4/ID","AS/5","AS/5/LABEL","AS/5/ID","AS/6","AS/6/LABEL","AS/6/ID","AS/6/COUNT"
"Stroma",,,"Fibroblast lineage",,,"Fibroblasts",,,"Adventitial fibroblasts",,,"None",,,"Adventitial fibroblasts",,,10321
"Stroma",,,"Fibroblast lineage",,,"Fibroblasts",,,"Alveolar fibroblasts",,,"None",,,"Alveolar fibroblasts",,,5182
"Immune",,,"Myeloid",,,"Macrophages",,,"Alveolar macrophages",,,"None",,,"Alveolar macrophages",,,68487
"Immune",,,"Myeloid",,,"Macrophages",,,"Alveolar macrophages",,,"Alveolar Mφ CCL3+",,,"Alveolar Mφ CCL3+",,,8065
"Immune",,,"Myeloid",,,"Macrophages",,,"Alveolar macrophages",,,"Alveolar Mφ MT-positive",,,"Alveolar Mφ MT-positive",,,1203
"Immune",,,"Myeloid",,,"Macrophages",,,"Alveolar macrophages",,,"Alveolar Mφ proliferating",,,"Alveolar Mφ proliferating",,,1061
"Epithelial",,,"Alveolar epithelium",,,"AT1",,,"None",,,"None",,,"AT1",,,7937
"Epithelial",,,"Alveolar epithelium",,,"AT2",,,"None",,,"None",,,"AT2",,,61199
"Epithelial",,,"Alveolar epithelium",,,"AT2",,,"AT2 proliferating",,,"None",,,"AT2 proliferating",,,976
"Immune",,,"Lymphoid",,,"B cell lineage",,,"B cells",,,"None",,,"B cells",,,4511
"Epithelial",,,"Airway epithelium",,,"Basal",,,"Basal resting",,,"None",,,"Basal resting",,,38955
"Immune",,,"Lymphoid",,,"T cell lineage",,,"CD4 T cells",,,"None",,,"CD4 T cells",,,21285
"Immune",,,"Lymphoid",,,"T cell lineage",,,"CD8 T cells",,,"None",,,"CD8 T cells",,,29074
"Immune",,,"Myeloid",,,"Monocytes",,,"Classical monocytes",,,"None",,,"Classical monocytes",,,17695
"Epithelial",,,"Airway epithelium",,,"Secretory",,,"Club",,,"Club (nasal)",,,"Club (nasal)",,,26068
"Epithelial",,,"Airway epithelium",,,"Secretory",,,"Club",,,"Club (non-nasal)",,,"Club (non-nasal)",,,12043
"Immune",,,"Myeloid",,,"Dendritic cells",,,"DC1",,,"None",,,"DC1",,,322
"Immune",,,"Myeloid",,,"Dendritic cells",,,"DC2",,,"None",,,"DC2",,,9133
"Epithelial",,,"Airway epithelium",,,"Multiciliated lineage",,,"Deuterosomal",,,"None",,,"Deuterosomal",,,1004
"Endothelial",,,"Blood vessels",,,"EC capillary",,,"EC aerocyte capillary",,,"None",,,"EC aerocyte capillary",,,7157
