Label,OBO Ontology ID,Markers
Descending Thin Limb Type 3,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),"DSCAML1,ARHGAP29,MAGI2,FOXP2,BICC1,PAX8,PTPN14,MYO9A,COL4A3,NEBL"
Descending Vasa Recta Endothelial,[vasa recta descending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001285),"PALMD,ADGRL4,ADAMTS6,EFNB2,CDH13,SYN3,PTPRB,PLPP1,RUNX1T1,TIMP3"
Distal Convoluted Tubule,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),"LINC01055,SLC12A3,TRPM6,CACNA1D,TMEM52B,ARHGAP6,LINC01762,FGF13,EGF,ESRRG"
Fibroblast,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),"ADAMTS12,ABCA6,FBLN5,CDH11,CCBE1,SVEP1,NID1,C7,CLMP,ATRNL1"
Glomerular Capillary Endothelial,[glomerular capillary endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001005),"HECW2,BTNL9,FLT1,EMCN,PLAT,PLPP3,SMAD6,TEK,SYNE1,PTPRB"
Inner Medullary Collecting Duct,[kidney inner medulla collecting duct epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000547),"LINC01924,ANK3,CAPN8,ABTB2,SAMD12,SLC14A2,GRIP1,NAALADL2,LRBA,PCDH7"
Intercalated Type B,[renal beta-intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002201),"SLC4A9,SLC26A4,LINC01187,SLC35F3,IL18,DGKI,PPM1E,PDZD2,PDE1C,ATP6V0D2"
Lymphatic Endothelial,[endothelial cell of lymphatic vessel](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002138),"TBX1,CCL21,MMRN1,PKHD1L1,SEMA3A,FLRT2,RELN,GRAPL,ELK3,KALRN"
M2 Macrophage,[macrophage](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000235),"MS4A6A,CD163,STAB1,SLC1A3,COLEC12,F13A1,MRC1,CD163L1,TLR2,SLCO2B1"
Macula Densa,[macula densa epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000850),"NOS1,TMPRSS4,PPFIA2,BBOX1,PAPPA2,ERBB4,ITGB6,CALCR,PKP4,DEPTOR"
Mast,[mast cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000097),"CPA3,TPSB2,HDC,SLC8A3,SLC18A2,KIT,SLC24A3,GRAP2,IL18R1,GATA2"
Medullary Fibroblast,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),"MOXD1,CLMP,LSAMP,ATRNL1,NID1,PID1,MEIS1,LAMA2,HPSE2,LPAR1"
Medullary Thick Ascending Limb,[kidney loop of Henle medullary thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001108),"SIM2,ESRRB,SLC12A1,CACNA2D3,ESRRG,ATP1A1,LINC01762,PTGER3,ATP1B1,EGF"
Mesangial,[mesangial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000650),"AGTR1,PDGFRB,PIEZO2,WISP1,DAAM2,CARMN,PRR16,ITGA8,COL25A1,ROBO1"
Monocyte-derived,[monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000576),"CSF2RA,TLR2,RTN1,ATP8B4,HLA-DPB1,FYB1,AOAH,CIITA,HLA-DRB1,MSR1"
Natural Killer T,[lymphocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000542),"GNLY,RUNX3,CD247,MYBL1,SLFN12L,IKZF3,SAMD3,APBA2,STAT4,AOAH"
Neutrophil,[neutrophil](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000775),"FCGR3B,S100A8,S100A9,CSF3R,MXD1,ITM2B,S100A6,FTL,ACTB,DHFR"
Non-classical monocyte,[monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000576),"SLC11A1,MYO1F,DOCK2,ADGRE2,ITGAL,AOAH,IRAK3,SMAP2,TBXAS1,ZEB2"
Outer Medullary Collecting Duct Intercalated Type A,[Outer Medullary Collecting Duct Intercalated Type A](),"LINC01187,ATP6V0D2,CLNK,ATP6V1C2,SLC4A9,ITGA6,KIT,SLC26A7,RCAN2,ATP6V0A4"
Outer Medullary Collecting Duct Principal,[Outer Medullary Collecting Duct Principal](),"GRIP1,ABTB2,BMPR1B,ANK3,PRKAG2,MECOM,TRPM3,PIK3C2G,PAPPA,CADPS2"
Papillary Tip Epithelial,[Papillary Tip Epithelial](),"KRT13,LCN2,EHF,EEF1A1,SLPI,S100A6,TACSTD2,SPINK1,GPX2,DHRS2"
Parietal Epithelial,[Parietal Epithelial](),"KIRREL3,SLC4A11,CFH,KCNT2,LINC01435,ALDH1A2,KLRG2,FAM189A1,CLDN1,RBFOX1"
Peritubular Capilary Endothelial,[Peritubular Capilary Endothelial](),"RAMP3,PLVAP,CEACAM1,ADGRL4,EGFL7,TEK,NOSTRIN,EML1,FLT1,GPM6A"
Plasma,[plasma cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000786),"MZB1,IGHG3,IGHG1,POU2AF1,IGHGP,IFNG-AS1,IGHA1,TENT5C,MEI1,IGKC"
Plasmacytoid Dendritic,[plasmacytoid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000784),"CLEC4C,LINC01478,CLIC3,FAM129C,CUX2,VASH2,BCL11A,RUBCNL,LINC00996,FLT3"
Podocyte,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),"NPHS2,ADAMTS19,WT1,NPHS1,FMN2,NTNG1,PTPRQ,TARID,ARHGEF26,ZNF804A"
Proximal Tubule Epithelial Segment 1,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),"AFM,SLC36A2,PLG,PAH,SLC13A1,AGXT2,SLC34A1,ACMSD,SLC17A1,SLC28A1"
Proximal Tubule Epithelial Segment 2,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),"SMIM2-AS1,SLC13A3,ACSM2B,ACSM2A,CLDN10,SLC2A9,CRYL1,SUGCT,SLC5A12,ERRFI1"
Proximal Tubule Epithelial Segment 3,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),"AGXT2,CDH9,LINC00671,ACMSD,SLC28A1,SMIM2-AS1,SLC13A1,TINAG,SLC6A13,DPYS"
Renin-positive Juxtaglomerular Granular,[kidney granular cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000648),"ABCC8,REN,COL13A1,CACNB2,ADCY3,PIP5K1B,GRID2,WFDC1,PRKG1,SLIT3"
Schwann / Neural,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),"CDH19,NRXN1,PRIMA1,ZNF536,NCAM1,CADM2,SCN7A,GINS3,CYP27C1,KIRREL3"
T,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_000084),"IL7R,THEMIS,ITK,BCL11B,LINC01934,SLFN12L,CAMK4,RHOH,CD247,CD96"
Vascular Smooth Muscle / Pericyte,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),"PDGFRB,CARMN,PRR16,CCDC102B,RGS5,ADGRL3,COL25A1,MAP1B,DLC1,HS6ST3"
