Label,OBO Ontology ID,Markers
Ascending Thin Limb,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),"SH3GL3,PLCB1,LGR4,BICDL1,PAX8,MAL,CACNA2D3,CDR2,PTPN14,PKHD1"
Connecting Tubule,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),"LINC01099,PDE4D,NR3C2,SCN2A,CADPS2,COBLL1,TOX3,DCDC2,SLC14A2,ABTB2"
Descending Thin Limb,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),"MYO9A,LINC01320,FOXP2,PAX8,BICC1,OXR1,PKHD1"
Distal Convoluted Tubule,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),"SLC12A3,CACNA1D,LINC01055,ARHGAP6,FGF13,TRPM6,TRPM7,ESRRG,ATP1A1,LINC01762"
Endothelial,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),"SHANK3,ADGRL4,EGFL7,TEK,PLVAP,CEACAM1,NOSTRIN,SLCO2A1,CALCRL,FLT1"
Fibroblast,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),"FBLN5,SVEP1,CDH11,MOXD1,C7,PLCXD3,PLA2G4A,NID1,ATRNL1,SPON1"
Immune,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),"IKZF1,DOCK2,PTPRC,F13A1,FYB1,AOAH,INPP5D,MRC1,SMAP2,ATP8B4"
Intercalated,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),"LINC01187,SLC4A9,ATP6V1C2,GALNT17,KIT,IL18,CLNK,ATP6V0D2,RHCG,ITGA6"
Papillary Tip Epithelial,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),"KRT13,EEF1A1,S100A6,EHF,AMBRA1,LCN2,SLPI,TACSTD2,RPL41,RPLP1"
Parietal Epithelial,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),"KCNT2,ALDH1A2,CFH,PAWR,FRMD4A,SLC4A11,LINC01435,PDE1A,RHEX,SYNE1"
Podocyte,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),"NPHS2,ADAMTS19,WT1,FMN2,NTNG1,PTPRQ,NPHS1,PTPRO,ZNF804A,ST6GALNAC3"
Principal,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),"KSR2,ABTB2,GRIP1,EYA4,GATA3,ANK3,PRKAG2,C11orf80,MECOM,PAPPA"
Proximal Tubule,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),"LINC01020,PLG,AGXT2,ACMSD,SLC36A2,SLC13A1,CDH9,LINC02027,CUBN,RAB11FIP3"
Schwann,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),"CDH19,NRXN1,NCAM1,PRIMA1,CADM2,ZNF536,ADGRB3,EPB41L2,STARD13,SCN7A"
Thick Ascending Limb,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),"GP2,SLC12A1,CASR,CLCN5,PLCB1,CGNL1,ESRRB,UMOD,PKP4,CACNA2D3"
Vascular Smooth Muscle / Pericyte,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),"PDGFRB,CARMN,NTRK3,CACNA1C,MYH11,ADGRL3,COL25A1,PRKG1,DLC1,PRR16"
